"X" "age" "ihd_mortality" "non_ihd_mortality" "sex"
"1" 1 0 0 0.00474 "male"
"2" 2 1 0 0.00018 "male"
"3" 3 2 0 0.00018 "male"
"4" 4 3 0 0.00018 "male"
"5" 5 4 0 0.00018 "male"
"6" 6 5 0 0.00008 "male"
"7" 7 6 0 0.00008 "male"
"8" 8 7 0 0.00009 "male"
"9" 9 8 0 0.00009 "male"
"10" 10 9 0 0.00009 "male"
"11" 11 10 0 0.00011 "male"
"12" 12 11 0 0.00011 "male"
"13" 13 12 0 0.00011 "male"
"14" 14 13 0 0.0001 "male"
"15" 15 14 0 0.0001 "male"
"16" 16 15 0 0.00033 "male"
"17" 17 16 0 0.00032 "male"
"18" 18 17 0 0.00031 "male"
"19" 19 18 0 0.00032 "male"
"20" 20 19 0 0.0003 "male"
"21" 21 20 0.00001 0.00049 "male"
"22" 22 21 0.00001 0.00048 "male"
"23" 23 22 0.00001 0.00046 "male"
"24" 24 23 0.00001 0.00046 "male"
"25" 25 24 0.00001 0.00047 "male"
"26" 26 25 0.00002 0.00054 "male"
"27" 27 26 0.00002 0.00055 "male"
"28" 28 27 0.00002 0.00054 "male"
"29" 29 28 0.00002 0.00054 "male"
"30" 30 29 0.00002 0.00055 "male"
"31" 31 30 0.00004 0.0007 "male"
"32" 32 31 0.00004 0.0007 "male"
"33" 33 32 0.00004 0.00069 "male"
"34" 34 33 0.00004 0.00069 "male"
"35" 35 34 0.00004 0.00072 "male"
"36" 36 35 0.0001 0.00102 "male"
"37" 37 36 0.0001 0.00103 "male"
"38" 38 37 0.0001 0.00102 "male"
"39" 39 38 0.0001 0.001 "male"
"40" 40 39 0.0001 0.00099 "male"
"41" 41 40 0.00026 0.00152 "male"
"42" 42 41 0.00025 0.00146 "male"
"43" 43 42 0.00024 0.00142 "male"
"44" 44 43 0.00025 0.00145 "male"
"45" 45 44 0.00024 0.00142 "male"
"46" 46 45 0.00043 0.00203 "male"
"47" 47 46 0.00042 0.00199 "male"
"48" 48 47 0.00042 0.002 "male"
"49" 49 48 0.00042 0.00199 "male"
"50" 50 49 0.00042 0.00201 "male"
"51" 51 50 0.00072 0.00262 "male"
"52" 52 51 0.00073 0.00267 "male"
"53" 53 52 0.00075 0.00277 "male"
"54" 54 53 0.00079 0.00288 "male"
"55" 55 54 0.0008 0.00295 "male"
"56" 56 55 0.00116 0.00422 "male"
"57" 57 56 0.00121 0.00439 "male"
"58" 58 57 0.00125 0.00455 "male"
"59" 59 58 0.0013 0.00473 "male"
"60" 60 59 0.0013 0.00472 "male"
"61" 61 60 0.00197 0.00767 "male"
"62" 62 61 0.00203 0.00791 "male"
"63" 63 62 0.00202 0.00786 "male"
"64" 64 63 0.00198 0.00771 "male"
"65" 65 64 0.00192 0.0075 "male"
"66" 66 65 0.00266 0.00997 "male"
"67" 67 66 0.00245 0.00917 "male"
"68" 68 67 0.00319 0.01194 "male"
"69" 69 68 0.00329 0.01232 "male"
