"","age","ihd_mortality","non_ihd_mortality","sex"
"1",0,0,0.00474,"male"
"2",1,0,0.00018,"male"
"3",2,0,0.00018,"male"
"4",3,0,0.00018,"male"
"5",4,0,0.00018,"male"
"6",5,0,8e-05,"male"
"7",6,0,8e-05,"male"
"8",7,0,9e-05,"male"
"9",8,0,9e-05,"male"
"10",9,0,9e-05,"male"
"11",10,0,0.00011,"male"
"12",11,0,0.00011,"male"
"13",12,0,0.00011,"male"
"14",13,0,1e-04,"male"
"15",14,0,1e-04,"male"
"16",15,0,0.00033,"male"
"17",16,0,0.00032,"male"
"18",17,0,0.00031,"male"
"19",18,0,0.00032,"male"
"20",19,0,3e-04,"male"
"21",20,1e-05,0.00049,"male"
"22",21,1e-05,0.00048,"male"
"23",22,1e-05,0.00046,"male"
"24",23,1e-05,0.00046,"male"
"25",24,1e-05,0.00047,"male"
"26",25,2e-05,0.00054,"male"
"27",26,2e-05,0.00055,"male"
"28",27,2e-05,0.00054,"male"
"29",28,2e-05,0.00054,"male"
"30",29,2e-05,0.00055,"male"
"31",30,4e-05,7e-04,"male"
"32",31,4e-05,7e-04,"male"
"33",32,4e-05,0.00069,"male"
"34",33,4e-05,0.00069,"male"
"35",34,4e-05,0.00072,"male"
"36",35,1e-04,0.00102,"male"
"37",36,1e-04,0.00103,"male"
"38",37,1e-04,0.00102,"male"
"39",38,1e-04,0.001,"male"
"40",39,1e-04,0.00099,"male"
"41",40,0.00026,0.00152,"male"
"42",41,0.00025,0.00146,"male"
"43",42,0.00024,0.00142,"male"
"44",43,0.00025,0.00145,"male"
"45",44,0.00024,0.00142,"male"
"46",45,0.00043,0.00203,"male"
"47",46,0.00042,0.00199,"male"
"48",47,0.00042,0.002,"male"
"49",48,0.00042,0.00199,"male"
"50",49,0.00042,0.00201,"male"
"51",50,0.00072,0.00262,"male"
"52",51,0.00073,0.00267,"male"
"53",52,0.00075,0.00277,"male"
"54",53,0.00079,0.00288,"male"
"55",54,8e-04,0.00295,"male"
"56",55,0.00116,0.00422,"male"
"57",56,0.00121,0.00439,"male"
"58",57,0.00125,0.00455,"male"
"59",58,0.0013,0.00473,"male"
"60",59,0.0013,0.00472,"male"
"61",60,0.00197,0.00767,"male"
"62",61,0.00203,0.00791,"male"
"63",62,0.00202,0.00786,"male"
"64",63,0.00198,0.00771,"male"
"65",64,0.00192,0.0075,"male"
"66",65,0.00266,0.00997,"male"
"67",66,0.00245,0.00917,"male"
"68",67,0.00319,0.01194,"male"
"69",68,0.00329,0.01232,"male"
"70",69,0.0033,0.01238,"male"
"71",70,0.00455,0.01635,"male"
"72",71,0.00513,0.01844,"male"
"73",72,0.00575,0.02066,"male"
"74",73,0.00556,0.01997,"male"
"75",74,0.00564,0.02026,"male"
"76",75,0.0079,0.02737,"male"
"77",76,0.00843,0.02918,"male"
"78",77,0.00898,0.03109,"male"
"79",78,0.00956,0.03311,"male"
"80",79,0.01051,0.0364,"male"
"81",80,0.01436,0.04739,"male"
"82",81,0.0151,0.04983,"male"
"83",82,0.01641,0.05418,"male"
"84",83,0.01825,0.06026,"male"
"85",84,0.02084,0.0688,"male"
"86",85,0.02279,0.07418,"male"
"87",86,0.02568,0.08357,"male"
"88",87,0.02975,0.09684,"male"
"89",88,0.03565,0.11603,"male"
"90",89,0.04302,0.14001,"male"
"91",90,0.04722,0.15216,"male"
"92",91,0.05181,0.16517,"male"
"93",92,0.05684,0.17906,"male"
"94",93,0.06235,0.19384,"male"
"95",94,0.06836,0.20951,"male"
"96",95,0.07494,0.22607,"male"
"97",96,0.08212,0.24348,"male"
"98",97,0.08995,0.2617,"male"
"99",98,0.09848,0.28066,"male"
"100",99,0.10778,0.30026,"male"
"101",100,0.1179,0.32038,"male"
"102",101,0.1289,0.34086,"male"
"103",102,0.14084,0.36152,"male"
"104",103,0.15378,0.38212,"male"
"105",104,0.16779,0.4024,"male"
"106",105,0.18294,0.42206,"male"
"107",106,0.19928,0.44076,"male"
"108",107,0.21688,0.45812,"male"
"109",108,0.23579,0.47376,"male"
"110",109,0.25607,0.48726,"male"
"111",110,0.27775,0.49821,"male"
"112",111,0.30087,0.50622,"male"
"113",112,0.32546,0.51091,"male"
"114",113,0.3515,0.51196,"male"
"115",114,0.37898,0.50912,"male"
"116",115,0.40788,0.50224,"male"
"117",116,0.43811,0.49125,"male"
"118",117,0.46958,0.47623,"male"
"119",118,0.50217,0.45734,"male"
"120",119,0.53571,0.43491,"male"
"121",120,0.57,0.40935,"male"
"122",121,0.6048,0.38119,"male"
"123",122,0.63984,0.35102,"male"
"124",123,0.6748,0.31948,"male"
"125",124,0.70936,0.28723,"male"
"126",125,0.74314,0.25493,"male"
"127",126,0.77578,0.22318,"male"
